Day;Hour;Secular_Holiday;Religious_holiday;Sports;TV_Media;Weather_transport;AirTempMLM;AirTempSTHLM;precipitationMLM;precipitationSTHLM;RainMLM2;RainSTHLM2;D_precipitationMLM;D_precipitationSTHLM;D_AirTempMLM;D_AirTempSTHLM;D_precipitationMLM2;D_precipitationSTHLM2;D_AirTempMLM2;D_AirTempSTHLM2;MY;StandSize;AirTempMLM2;AirTempSTHLM2
1;0;0;0;0;0;0;17.2;17.3;0;0;0;0;0;0;.0999999999999979;-.3000000000000007;0;0;.0099999999999996;.0900000000000004;201608;-1.4910423;295.84;299.29001
2;0;0;0;0;0;0;14;14.8;0;0;0;0;0;0;-.0999999999999996;-.3999999999999986;0;0;.0099999999999999;.1599999999999989;201608;-1.4506783;196;219.03999
3;0;0;0;0;0;0;12.2;12.4;0;0;0;0;0;0;-.3000000000000007;-.2999999999999989;0;0;.0900000000000004;.0899999999999994;201608;-1.4602336;148.84;153.75999
4;0;0;0;0;0;0;11.6;10.1;0;0;0;0;0;0;.5;-.3000000000000007;0;0;.25;.0900000000000004;201608;-1.4781542;134.56;102.01
5;0;0;0;0;0;0;8.6;8.699999999999999;0;0;0;0;0;0;-.8000000000000007;-.3000000000000007;0;0;.6400000000000011;.0900000000000004;201608;-1.4821512;73.959999;75.690002
6;0;0;0;0;0;0;16.2;12.7;0;.1;0;.01;0;-.4;-.5;-1.4;0;.16;.25;1.960000000000001;201608;-1.276386;262.44;161.28999
7;0;0;0;0;0;0;15.1;14.4;0;0;0;0;0;0;-.0999999999999996;-.1999999999999993;0;0;.0099999999999999;.0399999999999997;201608;-1.2196277;228.00999;207.36
1;0;0;0;0;0;0;14.6;12.4;0;0;0;0;0;0;-.3000000000000007;-.5;0;0;.0900000000000004;.25;201608;-1.5376583;213.16;153.75999
2;0;0;0;1;0;0;13.9;13.9;0;0;0;0;0;0;-.2999999999999989;.2000000000000011;0;0;.0899999999999994;.0400000000000004;201608;-1.5203137;193.21001;193.21001
3;0;0;0;0;0;0;10.3;14.5;0;0;0;0;0;0;-.8999999999999986;0;0;0;.8099999999999974;0;201608;-1.5078561;106.09;210.25
4;0;0;0;0;0;0;13.1;14.6;0;0;0;0;-1.4;0;-.4000000000000004;.2999999999999989;1.96;0;.1600000000000003;.0899999999999994;201608;-1.4498016;171.61;213.16
5;0;0;0;1;0;0;14.3;13.6;0;0;0;0;0;-.1;.7000000000000011;.0999999999999996;0;.01;.4900000000000015;.0099999999999999;201608;-1.5018966;204.49001;184.96001
6;0;0;0;0;0;0;15.3;13.8;0;0;0;0;0;0;.3000000000000007;.7000000000000011;0;0;.0900000000000004;.4900000000000015;201608;-1.3257669;234.09;190.44
7;0;0;0;0;0;0;15.3;13.5;0;0;0;0;0;0;.5;-.0999999999999996;0;0;.25;.0099999999999999;201608;-1.2454152;234.09;182.25
1;0;0;0;0;0;0;13.8;14.9;0;0;0;0;0;-.1;-1;0;0;.01;1;0;201608;-1.5603142;190.44;222.00999
3;0;0;0;0;0;0;11.7;13;0;0;0;0;0;0;-.7000000000000011;-.3000000000000007;0;0;.4900000000000015;.0900000000000004;201608;-1.5631959;136.89;169
4;0;0;0;0;0;0;17.3;15.1;0;0;0;0;0;0;.1000000000000014;.2999999999999989;0;0;.0100000000000003;.0899999999999994;201608;-1.5011784;299.29001;228.00999
5;0;0;0;0;0;0;19.9;15.3;0;0;0;0;0;0;-.3000000000000007;.2000000000000011;0;0;.0900000000000004;.0400000000000004;201608;-1.4937249;396.01001;234.09
6;0;0;0;0;0;0;18;18.7;0;0;0;0;0;0;-.1000000000000014;-.1000000000000014;0;0;.0100000000000003;.0100000000000003;201608;-1.2845997;324;349.69
7;0;0;0;0;0;0;10.5;13.2;0;0;0;0;0;0;-.3000000000000007;-.7000000000000011;0;0;.0900000000000004;.4900000000000015;201608;-1.2453406;110.25;174.24001
1;0;0;0;0;0;0;18.3;12.9;0;.4;0;.16;-.4;-.2999999999999999;.5;0;.16;.09;.25;0;201608;-1.5222858;334.89001;166.41
2;0;0;0;0;0;0;14.3;12;0;0;0;0;0;-1.8;-.3999999999999986;-.4000000000000004;0;3.24;.1599999999999989;.1600000000000003;201608;-1.5012283;204.49001;144
